Study_word,test_word,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Study_Phase.started,StudyText.started,Studyslider.started,Study_Phase.stopped,Studyslider.response,Studyslider.rt,Test_Phase.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,Test_Phase.stopped,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,TestText.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
laptop,,,,0,0,0,5,,,,,0.04174130014143884,,0.017168400110676885,0.04174130014143884,0.04174130014143884,2.85398230003193,1.4814814814814814,2.8137478998396546,,,,,,,,,,,,,,,,097998,001,2024-11-07_14h50.50.505,Word Priming,2024.1.5,None,2024-11-07 14h51.00.327126 +0530,
Cruise,,,,0,1,1,11,,,,,2.8683049001265317,,2.854261700063944,2.8683049001265317,2.8683049001265317,3.570299900136888,2.1666666666666665,0.6942684999667108,,,,,,,,,,,,,,,,097998,001,2024-11-07_14h50.50.505,Word Priming,2024.1.5,None,2024-11-07 14h51.00.327126 +0530,
T-shirt,,,,0,2,2,7,,,,,3.584785200189799,,3.5704934999812394,3.584785200189799,3.584785200189799,4.5536858001723886,3.6185185185185187,0.9613971000071615,,,,,,,,,,,,,,,,097998,001,2024-11-07_14h50.50.505,Word Priming,2024.1.5,None,2024-11-07 14h51.00.327126 +0530,
phone,,,,0,3,3,2,,,,,4.568185500102118,,4.553869400173426,4.568185500102118,4.568185500102118,5.203723100014031,4.214814814814815,0.6294060000218451,,,,,,,,,,,,,,,,097998,001,2024-11-07_14h50.50.505,Word Priming,2024.1.5,None,2024-11-07 14h51.00.327126 +0530,
Poster,,,,0,4,4,14,,,,,5.218030499992892,,5.203956600045785,5.218030499992892,5.218030499992892,5.986629900056869,3.8444444444444446,0.7612475000787526,,,,,,,,,,,,,,,,097998,001,2024-11-07_14h50.50.505,Word Priming,2024.1.5,None,2024-11-07 14h51.00.327126 +0530,
Chart,,,,0,5,5,6,,,,,6.001181100029498,,5.986802899977192,6.001181100029498,6.001181100029498,6.669968500034884,2.9444444444444446,0.6631345001515001,,,,,,,,,,,,,,,,097998,001,2024-11-07_14h50.50.505,Word Priming,2024.1.5,None,2024-11-07 14h51.00.327126 +0530,
Case,,,,0,6,6,10,,,,,6.684484899975359,,6.6701507000252604,6.684484899975359,6.684484899975359,7.40275160013698,2.2666666666666666,0.7129182999487966,,,,,,,,,,,,,,,,097998,001,2024-11-07_14h50.50.505,Word Priming,2024.1.5,None,2024-11-07 14h51.00.327126 +0530,
marble,,,,0,7,7,3,,,,,7.417345100082457,,7.402945599984378,7.417345100082457,7.417345100082457,8.136562200030312,1.2074074074074075,0.7133869000244886,,,,,,,,,,,,,,,,097998,001,2024-11-07_14h50.50.505,Word Priming,2024.1.5,None,2024-11-07 14h51.00.327126 +0530,
book,,,,0,8,8,0,,,,,8.150770100066438,,8.136775400023907,8.150770100066438,8.150770100066438,9.786266900133342,1.048148148148148,1.6291811000555754,,,,,,,,,,,,,,,,097998,001,2024-11-07_14h50.50.505,Word Priming,2024.1.5,None,2024-11-07 14h51.00.327126 +0530,
Pastry,,,,0,9,9,9,,,,,9.800447400193661,,9.786467500030994,9.800447400193661,9.800447400193661,11.035895900102332,1.7333333333333334,1.2275533999782056,,,,,,,,,,,,,,,,097998,001,2024-11-07_14h50.50.505,Word Priming,2024.1.5,None,2024-11-07 14h51.00.327126 +0530,
